,AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2
group00196,,AAA023J06.genome.CDS.912,AAA024D14.genome.CDS.828,AAA027J17.genome.CDS.1261,AAA027L06.genome.CDS.1830,,AAA028A23.genome.CDS.1426,AAA028E20.genome.CDS.1721,AAA028G02.genome.CDS.2140,AAA028I14.genome.CDS.1309,AAA041L13.genome.CDS.2807,AAA044D11.genome.CDS.1480,AAA044N04.genome.CDS.1627,AAA044O16.genome.CDS.2597,AAA278I18.genome.CDS.1561,,AB141P03.genome.CDS.1070,BIN_10.genome.CDS.1724,,MEint2297.genome.CDS.1607,MEint283.genome.CDS.846,MEint3864.genome.CDS.984,,MEint885.genome.CDS.1187,TBepi2057.genome.CDS.960,TBepi2754.genome.CDS.2561,TBepi3207.genome.CDS.2390,TBepi3475.genome.CDS.1460,TBepi4208.genome.CDS.1320,TBhypo2152.genome.CDS.1270,TBhypo3463.genome.CDS.2244,,TBhypo680.genome.CDS.2593,acIB-AMD-6.genome.CDS.799;acIB-AMD-6.genome.CDS.652,acIB-AMD-7.genome.CDS.1216,bin_7_acI-B2.genome.CDS.3454
group00197,AAA023D18.genome.CDS.1516,,AAA024D14.genome.CDS.1014,AAA027J17.genome.CDS.1257,AAA027L06.genome.CDS.1826,AAA027M14.genome.CDS.1660,AAA028A23.genome.CDS.1422,AAA028E20.genome.CDS.1110,,AAA028I14.genome.CDS.891,,AAA044D11.genome.CDS.1732,AAA044N04.genome.CDS.2438,AAA044O16.genome.CDS.2765,AAA278I18.genome.CDS.1557,AAA278O22.genome.CDS.2152,AB141P03.genome.CDS.1066,BIN_10.genome.CDS.1540,MEint1363.genome.CDS.1584,MEint2297.genome.CDS.1671,MEint283.genome.CDS.842,,MEint4252.genome.CDS.1910,,TBepi2057.genome.CDS.1252,TBepi2754.genome.CDS.2416,TBepi3207.genome.CDS.1577,TBepi3475.genome.CDS.1837,TBepi4208.genome.CDS.1115,TBhypo2152.genome.CDS.1077,,,TBhypo680.genome.CDS.1728,acIB-AMD-6.genome.CDS.648;acIB-AMD-6.genome.CDS.803,acIB-AMD-7.genome.CDS.1220,
group00198,,,AAA024D14.genome.CDS.878,AAA027J17.genome.CDS.1507,AAA027L06.genome.CDS.2150,AAA027M14.genome.CDS.1154,AAA028A23.genome.CDS.1202,AAA028E20.genome.CDS.1046,AAA028G02.genome.CDS.2662,,,AAA044D11.genome.CDS.2182,AAA044N04.genome.CDS.1387,AAA044O16.genome.CDS.1899,AAA278I18.genome.CDS.1176,AAA278O22.genome.CDS.1286,,BIN_10.genome.CDS.1324,MEint1363.genome.CDS.1089;MEint1363.genome.CDS.1860,MEint2297.genome.CDS.2702,MEint283.genome.CDS.1146,MEint3864.genome.CDS.1279,MEint4252.genome.CDS.1177,MEint885.genome.CDS.1277;MEint885.genome.CDS.972,,TBepi2754.genome.CDS.2141,,TBepi3475.genome.CDS.1065,TBepi4208.genome.CDS.1312,TBhypo2152.genome.CDS.1731,,,TBhypo680.genome.CDS.2021,acIB-AMD-6.genome.CDS.779,acIB-AMD-7.genome.CDS.1801;acIB-AMD-7.genome.CDS.1975,bin_7_acI-B2.genome.CDS.3260
group00199,,,,AAA027J17.genome.CDS.1025,AAA027L06.genome.CDS.1229,AAA027M14.genome.CDS.1043,AAA028A23.genome.CDS.1679,,,,AAA041L13.genome.CDS.2599,,AAA044N04.genome.CDS.2181,,AAA278I18.genome.CDS.1477,,AB141P03.genome.CDS.1179,BIN_10.genome.CDS.1428,MEint1363.genome.CDS.960,MEint2297.genome.CDS.2279;MEint2297.genome.CDS.2675,MEint283.genome.CDS.1094,,MEint4252.genome.CDS.1403,MEint885.genome.CDS.1108,TBepi2057.genome.CDS.1933,TBepi2754.genome.CDS.1588,TBepi3207.genome.CDS.2222,TBepi3475.genome.CDS.1314,TBepi4208.genome.CDS.1014,TBhypo2152.genome.CDS.1108,TBhypo3463.genome.CDS.1813,,TBhypo680.genome.CDS.1355,acIB-AMD-6.genome.CDS.556,acIB-AMD-7.genome.CDS.1681;acIB-AMD-7.genome.CDS.1847,bin_7_acI-B2.genome.CDS.2708
group00200,AAA023D18.genome.CDS.1058,AAA023J06.genome.CDS.1364,,AAA027J17.genome.CDS.1996,AAA027L06.genome.CDS.1534,,AAA028A23.genome.CDS.1396,,,AAA028I14.genome.CDS.1133,AAA041L13.genome.CDS.1589,AAA044D11.genome.CDS.1556,AAA044N04.genome.CDS.2503,AAA044O16.genome.CDS.1443,AAA278I18.genome.CDS.1777,,AB141P03.genome.CDS.1321,BIN_10.genome.CDS.1129,MEint1363.genome.CDS.1342,MEint2297.genome.CDS.2096,MEint283.genome.CDS.1329,MEint3864.genome.CDS.888,MEint4252.genome.CDS.1196,MEint885.genome.CDS.911,TBepi2057.genome.CDS.1260,TBepi2754.genome.CDS.1686,TBepi3207.genome.CDS.1477,TBepi3475.genome.CDS.1090,TBepi4208.genome.CDS.1825,,TBhypo3463.genome.CDS.2351,TBhypo3838.genome.CDS.970,TBhypo680.genome.CDS.1420,acIB-AMD-6.genome.CDS.619,acIB-AMD-7.genome.CDS.1590,bin_7_acI-B2.genome.CDS.3661
group00201,,,AAA024D14.genome.CDS.1103,AAA027J17.genome.CDS.1048,AAA027L06.genome.CDS.1253,AAA027M14.genome.CDS.1068,AAA028A23.genome.CDS.991,,AAA028G02.genome.CDS.2596,,,AAA044D11.genome.CDS.2214,AAA044N04.genome.CDS.2321,AAA044O16.genome.CDS.2460,AAA278I18.genome.CDS.1454,AAA278O22.genome.CDS.1603;AAA278O22.genome.CDS.1618,AB141P03.genome.CDS.768;AB141P03.genome.CDS.854,BIN_10.genome.CDS.1858,MEint1363.genome.CDS.935,MEint2297.genome.CDS.522,,,MEint4252.genome.CDS.1499;MEint4252.genome.CDS.2217,MEint885.genome.CDS.1336,TBepi2057.genome.CDS.787,TBepi2754.genome.CDS.2080,TBepi3207.genome.CDS.1649,TBepi3475.genome.CDS.978,TBepi4208.genome.CDS.1246,TBhypo2152.genome.CDS.1687,,,,,acIB-AMD-7.genome.CDS.1225;acIB-AMD-7.genome.CDS.1098,bin_7_acI-B2.genome.CDS.2778
group00202,,,,AAA027J17.genome.CDS.1140,AAA027L06.genome.CDS.2414,AAA027M14.genome.CDS.1408,AAA028A23.genome.CDS.1654,AAA028E20.genome.CDS.1244,AAA028G02.genome.CDS.2244,AAA028I14.genome.CDS.1212,AAA041L13.genome.CDS.1919,,AAA044N04.genome.CDS.1734,AAA044O16.genome.CDS.2716,AAA278I18.genome.CDS.1053,AAA278O22.genome.CDS.2126,AB141P03.genome.CDS.1201,BIN_10.genome.CDS.2203;BIN_10.genome.CDS.2204,MEint1363.genome.CDS.1784,MEint2297.genome.CDS.2558,,MEint3864.genome.CDS.816,MEint4252.genome.CDS.1140,MEint885.genome.CDS.1376,TBepi2057.genome.CDS.1367,TBepi2754.genome.CDS.2280,,TBepi3475.genome.CDS.1126,TBepi4208.genome.CDS.2006,TBhypo2152.genome.CDS.911,,,TBhypo680.genome.CDS.1948,,acIB-AMD-7.genome.CDS.1005,bin_7_acI-B2.genome.CDS.3967
group00203,AAA023D18.genome.CDS.839,AAA023J06.genome.CDS.802,AAA024D14.genome.CDS.949,AAA027J17.genome.CDS.1979,AAA027L06.genome.CDS.1656,AAA027M14.genome.CDS.1622,AAA028A23.genome.CDS.613,AAA028E20.genome.CDS.1659,AAA028G02.genome.CDS.1934,AAA028I14.genome.CDS.1023,AAA041L13.genome.CDS.2345,AAA044D11.genome.CDS.1891,AAA044N04.genome.CDS.1894,AAA044O16.genome.CDS.1090,AAA278I18.genome.CDS.1400,AAA278O22.genome.CDS.2312,AB141P03.genome.CDS.976,BIN_10.genome.CDS.1620,MEint1363.genome.CDS.1036,MEint2297.genome.CDS.2737,,,MEint4252.genome.CDS.1995,,TBepi2057.genome.CDS.1942,TBepi2754.genome.CDS.1751,TBepi3207.genome.CDS.2465,,TBepi4208.genome.CDS.1561,,TBhypo3463.genome.CDS.1647,TBhypo3838.genome.CDS.879,TBhypo680.genome.CDS.2343,acIB-AMD-6.genome.CDS.1069,acIB-AMD-7.genome.CDS.1037,bin_7_acI-B2.genome.CDS.2682;bin_7_acI-B2.genome.CDS.3565
group00204,,AAA023J06.genome.CDS.984,AAA024D14.genome.CDS.1166,AAA027J17.genome.CDS.1625,AAA027L06.genome.CDS.1592,AAA027M14.genome.CDS.1493,AAA028A23.genome.CDS.1566,AAA028E20.genome.CDS.1006,AAA028G02.genome.CDS.2060,AAA028I14.genome.CDS.953,AAA041L13.genome.CDS.2677,AAA044D11.genome.CDS.2231,AAA044N04.genome.CDS.1548,AAA044O16.genome.CDS.2520,AAA278I18.genome.CDS.983,AAA278O22.genome.CDS.1553,,BIN_10.genome.CDS.1967,MEint1363.genome.CDS.1173,MEint2297.genome.CDS.1540,,,MEint4252.genome.CDS.2098,MEint885.genome.CDS.858,TBepi2057.genome.CDS.1455,TBepi2754.genome.CDS.1411,TBepi3207.genome.CDS.1991,TBepi3475.genome.CDS.1858,TBepi4208.genome.CDS.1867,TBhypo2152.genome.CDS.1466,TBhypo3463.genome.CDS.1350,,TBhypo680.genome.CDS.2249,acIB-AMD-6.genome.CDS.1049,acIB-AMD-7.genome.CDS.994,bin_7_acI-B2.genome.CDS.3069
group00205,,AAA023J06.genome.CDS.940,AAA024D14.genome.CDS.852,AAA027J17.genome.CDS.1801,AAA027L06.genome.CDS.2074,,AAA028A23.genome.CDS.1216,AAA028E20.genome.CDS.1321,AAA028G02.genome.CDS.2112,AAA028I14.genome.CDS.1374,AAA041L13.genome.CDS.1744,AAA044D11.genome.CDS.1645,AAA044N04.genome.CDS.1601,AAA044O16.genome.CDS.2571,AAA278I18.genome.CDS.1037,AAA278O22.genome.CDS.1500,,BIN_10.genome.CDS.1396,MEint1363.genome.CDS.1492,MEint2297.genome.CDS.1583,MEint283.genome.CDS.1023,MEint3864.genome.CDS.1109,MEint4252.genome.CDS.1281,MEint885.genome.CDS.1675;MEint885.genome.CDS.921,TBepi2057.genome.CDS.1422,TBepi2754.genome.CDS.2107,TBepi3207.genome.CDS.1317,TBepi3475.genome.CDS.1557,TBepi4208.genome.CDS.1369,TBhypo2152.genome.CDS.1664,TBhypo3463.genome.CDS.2493,TBhypo3838.genome.CDS.642,TBhypo680.genome.CDS.1632,acIB-AMD-6.genome.CDS.874,,bin_7_acI-B2.genome.CDS.3076
group00206,AAA023D18.genome.CDS.1086,,,AAA027J17.genome.CDS.1293,AAA027L06.genome.CDS.1936,AAA027M14.genome.CDS.1280,AAA028A23.genome.CDS.1373,,AAA028G02.genome.CDS.2429,AAA028I14.genome.CDS.1103,AAA041L13.genome.CDS.1559,,,AAA044O16.genome.CDS.1414,AAA278I18.genome.CDS.1753,AAA278O22.genome.CDS.2290,,BIN_10.genome.CDS.2069,MEint1363.genome.CDS.1562,MEint2297.genome.CDS.1849,MEint283.genome.CDS.1107,MEint3864.genome.CDS.1379,,MEint885.genome.CDS.898,TBepi2057.genome.CDS.1219,TBepi2754.genome.CDS.1657,TBepi3207.genome.CDS.1536,,TBepi4208.genome.CDS.1548,TBhypo2152.genome.CDS.1057,TBhypo3463.genome.CDS.2157,TBhypo3838.genome.CDS.834,TBhypo680.genome.CDS.2361,acIB-AMD-6.genome.CDS.760;acIB-AMD-6.genome.CDS.908,,bin_7_acI-B2.genome.CDS.3633
group00207,AAA023D18.genome.CDS.1274,,,AAA027J17.genome.CDS.1734,AAA027L06.genome.CDS.1960,AAA027M14.genome.CDS.971,AAA028A23.genome.CDS.1294,AAA028E20.genome.CDS.1469,AAA028G02.genome.CDS.1574,,AAA041L13.genome.CDS.2023;AAA041L13.genome.CDS.2518;AAA041L13.genome.CDS.2534,AAA044D11.genome.CDS.1364,AAA044N04.genome.CDS.2290,AAA044O16.genome.CDS.2382,AAA278I18.genome.CDS.1828,AAA278O22.genome.CDS.1944,AB141P03.genome.CDS.1048,BIN_10.genome.CDS.1388,MEint1363.genome.CDS.1266,MEint2297.genome.CDS.1719,MEint283.genome.CDS.1265,,MEint4252.genome.CDS.1823,,TBepi2057.genome.CDS.1832,,TBepi3207.genome.CDS.1862,TBepi3475.genome.CDS.1732,TBepi4208.genome.CDS.1708,,TBhypo3463.genome.CDS.1790,,TBhypo680.genome.CDS.1784,acIB-AMD-6.genome.CDS.829;acIB-AMD-6.genome.CDS.898,,bin_7_acI-B2.genome.CDS.2062;bin_7_acI-B2.genome.CDS.3418
group00208,,,AAA024D14.genome.CDS.1371,AAA027J17.genome.CDS.1161,AAA027L06.genome.CDS.2435,AAA027M14.genome.CDS.1428,AAA028A23.genome.CDS.860,AAA028E20.genome.CDS.1225,AAA028G02.genome.CDS.2264,AAA028I14.genome.CDS.1192,AAA041L13.genome.CDS.1899,,AAA044N04.genome.CDS.1754,AAA044O16.genome.CDS.2736,AAA278I18.genome.CDS.1073,AAA278O22.genome.CDS.2060,,BIN_10.genome.CDS.2183,MEint1363.genome.CDS.1764,MEint2297.genome.CDS.1396;MEint2297.genome.CDS.2539,MEint283.genome.CDS.956,,,,TBepi2057.genome.CDS.1595,TBepi2754.genome.CDS.1512,TBepi3207.genome.CDS.2489,,,TBhypo2152.genome.CDS.1350,TBhypo3463.genome.CDS.2297,,TBhypo680.genome.CDS.2222,acIB-AMD-6.genome.CDS.1077;acIB-AMD-6.genome.CDS.170,acIB-AMD-7.genome.CDS.1364;acIB-AMD-7.genome.CDS.1025;acIB-AMD-7.genome.CDS.1900,
group00209,AAA023D18.genome.CDS.815,AAA023J06.genome.CDS.783,AAA024D14.genome.CDS.930,AAA027J17.genome.CDS.1567,AAA027L06.genome.CDS.2106,AAA027M14.genome.CDS.1379,AAA028A23.genome.CDS.1524,AAA028E20.genome.CDS.1640,AAA028G02.genome.CDS.1913,AAA028I14.genome.CDS.1433,AAA041L13.genome.CDS.2122,AAA044D11.genome.CDS.1868,AAA044N04.genome.CDS.1913,AAA044O16.genome.CDS.923;AAA044O16.genome.CDS.922,AAA278I18.genome.CDS.1376,AAA278O22.genome.CDS.2248,AB141P03.genome.CDS.1000,,MEint1363.genome.CDS.1881,MEint2297.genome.CDS.2039;MEint2297.genome.CDS.2612,MEint283.genome.CDS.1429,,MEint4252.genome.CDS.2189,,,TBepi2754.genome.CDS.2779,TBepi3207.genome.CDS.2151,TBepi3475.genome.CDS.1630,TBepi4208.genome.CDS.1489,TBhypo2152.genome.CDS.1817,TBhypo3463.genome.CDS.2479,TBhypo3838.genome.CDS.843,TBhypo680.genome.CDS.2115,,acIB-AMD-7.genome.CDS.1714,bin_7_acI-B2.genome.CDS.3538
group00210,,,AAA024D14.genome.CDS.1009,AAA027J17.genome.CDS.1252,AAA027L06.genome.CDS.1821,AAA027M14.genome.CDS.1644,AAA028A23.genome.CDS.1417,AAA028E20.genome.CDS.1117,,AAA028I14.genome.CDS.885,AAA041L13.genome.CDS.2954,AAA044D11.genome.CDS.1738,AAA044N04.genome.CDS.2431,AAA044O16.genome.CDS.2778,AAA278I18.genome.CDS.1552,AAA278O22.genome.CDS.2162,AB141P03.genome.CDS.1061,BIN_10.genome.CDS.1534,MEint1363.genome.CDS.1589,MEint2297.genome.CDS.1677,MEint283.genome.CDS.837,MEint3864.genome.CDS.1118;MEint3864.genome.CDS.829,MEint4252.genome.CDS.1255,MEint885.genome.CDS.1035,TBepi2057.genome.CDS.1256,TBepi2754.genome.CDS.2421,TBepi3207.genome.CDS.1572,TBepi3475.genome.CDS.1830,TBepi4208.genome.CDS.1121,TBhypo2152.genome.CDS.1476,TBhypo3463.genome.CDS.1730,,TBhypo680.genome.CDS.1733,acIB-AMD-6.genome.CDS.643,acIB-AMD-7.genome.CDS.1263,
group00211,AAA023D18.genome.CDS.1478,,,AAA027J17.genome.CDS.1688,AAA027L06.genome.CDS.1409,AAA027M14.genome.CDS.1506,AAA028A23.genome.CDS.1369,AAA028E20.genome.CDS.1008,AAA028G02.genome.CDS.2048,,AAA041L13.genome.CDS.1472,AAA044D11.genome.CDS.2236,AAA044N04.genome.CDS.2383,,AAA278I18.genome.CDS.970;AAA278I18.genome.CDS.1856,AAA278O22.genome.CDS.1565,,BIN_10.genome.CDS.1818,MEint1363.genome.CDS.1159,MEint2297.genome.CDS.2370,MEint283.genome.CDS.901;MEint283.genome.CDS.907,MEint3864.genome.CDS.1346,MEint4252.genome.CDS.1747,MEint885.genome.CDS.1008,TBepi2057.genome.CDS.1478,TBepi2754.genome.CDS.1422,TBepi3207.genome.CDS.2236,,TBepi4208.genome.CDS.1744,TBhypo2152.genome.CDS.1757,TBhypo3463.genome.CDS.1258,TBhypo3838.genome.CDS.769,TBhypo680.genome.CDS.2262;TBhypo680.genome.CDS.2261,acIB-AMD-6.genome.CDS.1081,,bin_7_acI-B2.genome.CDS.3058
group00212,AAA023D18.genome.CDS.1503;AAA023D18.genome.CDS.1541,,AAA024D14.genome.CDS.898,AAA027J17.genome.CDS.1528,AAA027L06.genome.CDS.2129,AAA027M14.genome.CDS.1111,AAA028A23.genome.CDS.1181,AAA028E20.genome.CDS.1026,,,,AAA044D11.genome.CDS.1665,AAA044N04.genome.CDS.1408,AAA044O16.genome.CDS.1919,AAA278I18.genome.CDS.1155,AAA278O22.genome.CDS.1264,,BIN_10.genome.CDS.1352,MEint1363.genome.CDS.1310,MEint2297.genome.CDS.1917,,MEint3864.genome.CDS.1150,MEint4252.genome.CDS.1966,MEint885.genome.CDS.1703,TBepi2057.genome.CDS.1676,TBepi2754.genome.CDS.2231,TBepi3207.genome.CDS.2016,,TBepi4208.genome.CDS.1293,TBhypo2152.genome.CDS.1709;TBhypo2152.genome.CDS.1644,TBhypo3463.genome.CDS.2101,TBhypo3838.genome.CDS.905,TBhypo680.genome.CDS.2207,acIB-AMD-6.genome.CDS.947,,
group00213,AAA023D18.genome.CDS.1485,,AAA024D14.genome.CDS.1017,AAA027J17.genome.CDS.1260,AAA027L06.genome.CDS.1829,,AAA028A23.genome.CDS.1425,AAA028E20.genome.CDS.1105,,AAA028I14.genome.CDS.896,,AAA044D11.genome.CDS.1727,AAA044N04.genome.CDS.2441,AAA044O16.genome.CDS.2760,AAA278I18.genome.CDS.1560,AAA278O22.genome.CDS.2149,AB141P03.genome.CDS.1069,BIN_10.genome.CDS.1543,,MEint2297.genome.CDS.1666,MEint283.genome.CDS.845,MEint3864.genome.CDS.862,,MEint885.genome.CDS.1048,TBepi2057.genome.CDS.1247,TBepi2754.genome.CDS.2410;TBepi2754.genome.CDS.2411,TBepi3207.genome.CDS.1583,TBepi3475.genome.CDS.1257,TBepi4208.genome.CDS.1110,,TBhypo3463.genome.CDS.1451,,TBhypo680.genome.CDS.1723,acIB-AMD-6.genome.CDS.800;acIB-AMD-6.genome.CDS.651,acIB-AMD-7.genome.CDS.1217,bin_7_acI-B2.genome.CDS.2868
group00214,AAA023D18.genome.CDS.827,AAA023J06.genome.CDS.771,AAA024D14.genome.CDS.918,AAA027J17.genome.CDS.1579,AAA027L06.genome.CDS.2094,AAA027M14.genome.CDS.1391,AAA028A23.genome.CDS.1717,AAA028E20.genome.CDS.1628,AAA028G02.genome.CDS.1901,,AAA041L13.genome.CDS.2134,AAA044D11.genome.CDS.1880,AAA044N04.genome.CDS.1925,AAA044O16.genome.CDS.2307,AAA278I18.genome.CDS.1388,AAA278O22.genome.CDS.2260,AB141P03.genome.CDS.988,BIN_10.genome.CDS.1767,,MEint2297.genome.CDS.2725,,,MEint4252.genome.CDS.1507;MEint4252.genome.CDS.2008,,,TBepi2754.genome.CDS.1828,,,TBepi4208.genome.CDS.1447,,TBhypo3463.genome.CDS.2137,,TBhypo680.genome.CDS.2103,,acIB-AMD-7.genome.CDS.1804,bin_7_acI-B2.genome.CDS.3550
group00215,AAA023D18.genome.CDS.1181,,AAA024D14.genome.CDS.1038,,AAA027L06.genome.CDS.2354;AAA027L06.genome.CDS.2347;AAA027L06.genome.CDS.1787,AAA027M14.genome.CDS.990,AAA028A23.genome.CDS.1030,AAA028E20.genome.CDS.954,AAA028G02.genome.CDS.2519,,AAA041L13.genome.CDS.1653,,AAA044N04.genome.CDS.2124,AAA044O16.genome.CDS.1646,,AAA278O22.genome.CDS.2310,AB141P03.genome.CDS.1101,BIN_10.genome.CDS.1599,MEint1363.genome.CDS.1030,MEint2297.genome.CDS.2193,MEint283.genome.CDS.980,MEint3864.genome.CDS.913,MEint4252.genome.CDS.1614,MEint885.genome.CDS.1290,TBepi2057.genome.CDS.1028,TBepi2754.genome.CDS.1626,TBepi3207.genome.CDS.2422,TBepi3475.genome.CDS.1166,TBepi4208.genome.CDS.1764,TBhypo2152.genome.CDS.1417,TBhypo3463.genome.CDS.1749,,TBhypo680.genome.CDS.1316,,,
group00216,AAA023D18.genome.CDS.830,AAA023J06.genome.CDS.766,,AAA027J17.genome.CDS.1582,AAA027L06.genome.CDS.2091,AAA027M14.genome.CDS.1394,AAA028A23.genome.CDS.1681;AAA028A23.genome.CDS.1700,AAA028E20.genome.CDS.1625,AAA028G02.genome.CDS.1898,,AAA041L13.genome.CDS.2108,AAA044D11.genome.CDS.1883,AAA044N04.genome.CDS.1930,AAA044O16.genome.CDS.2303,AAA278I18.genome.CDS.1391,AAA278O22.genome.CDS.2264,AB141P03.genome.CDS.985,BIN_10.genome.CDS.1770,,MEint2297.genome.CDS.2728,,,MEint4252.genome.CDS.2005,,TBepi2057.genome.CDS.1702,TBepi2754.genome.CDS.1831,TBepi3207.genome.CDS.1763,,TBepi4208.genome.CDS.2049,TBhypo2152.genome.CDS.1463,TBhypo3463.genome.CDS.2140,,TBhypo680.genome.CDS.2100,,,bin_7_acI-B2.genome.CDS.2670;bin_7_acI-B2.genome.CDS.3553
group00217,AAA023D18.genome.CDS.1085,,,AAA027J17.genome.CDS.1292,AAA027L06.genome.CDS.1935,AAA027M14.genome.CDS.1279,AAA028A23.genome.CDS.1374,,AAA028G02.genome.CDS.2430,AAA028I14.genome.CDS.1104,AAA041L13.genome.CDS.1560,,,AAA044O16.genome.CDS.1415,AAA278I18.genome.CDS.1752,AAA278O22.genome.CDS.2289,,BIN_10.genome.CDS.2070,MEint1363.genome.CDS.1561,MEint2297.genome.CDS.1850,MEint283.genome.CDS.1106,MEint3864.genome.CDS.1378,,MEint885.genome.CDS.899,TBepi2057.genome.CDS.1220,TBepi2754.genome.CDS.1658,TBepi3207.genome.CDS.1535,,TBepi4208.genome.CDS.1131;TBepi4208.genome.CDS.1549,TBhypo2152.genome.CDS.1058,TBhypo3463.genome.CDS.2158,TBhypo3838.genome.CDS.833,TBhypo680.genome.CDS.2360,acIB-AMD-6.genome.CDS.759;acIB-AMD-6.genome.CDS.907,,bin_7_acI-B2.genome.CDS.3634
group00218,,,AAA024D14.genome.CDS.1486,AAA027J17.genome.CDS.1939,AAA027L06.genome.CDS.1563,AAA027M14.genome.CDS.1469,,,AAA028G02.genome.CDS.2083,,AAA041L13.genome.CDS.1773,,AAA044N04.genome.CDS.1572,AAA044O16.genome.CDS.2543,AAA278I18.genome.CDS.1008,AAA278O22.genome.CDS.1529,,BIN_10.genome.CDS.2037;BIN_10.genome.CDS.2038,MEint1363.genome.CDS.1465,MEint2297.genome.CDS.2335,MEint283.genome.CDS.1354,MEint3864.genome.CDS.782,MEint4252.genome.CDS.1119,MEint885.genome.CDS.1604,TBepi2057.genome.CDS.1063,TBepi2754.genome.CDS.1395,,TBepi3475.genome.CDS.1291,TBepi4208.genome.CDS.1527,TBhypo2152.genome.CDS.1135,TBhypo3463.genome.CDS.1934,TBhypo3838.genome.CDS.677,TBhypo680.genome.CDS.1880,,acIB-AMD-7.genome.CDS.1768,bin_7_acI-B2.genome.CDS.2418
group00219,AAA023D18.genome.CDS.1350,AAA023J06.genome.CDS.993,AAA024D14.genome.CDS.1175,AAA027J17.genome.CDS.1614,AAA027L06.genome.CDS.1581,AAA027M14.genome.CDS.1484,AAA028A23.genome.CDS.1632,AAA028E20.genome.CDS.1309,AAA028G02.genome.CDS.2070,,AAA041L13.genome.CDS.2358,,AAA044N04.genome.CDS.1558,AAA044O16.genome.CDS.2530,AAA278I18.genome.CDS.994,AAA278O22.genome.CDS.1542,,BIN_10.genome.CDS.1917,MEint1363.genome.CDS.1510,MEint2297.genome.CDS.1530,MEint283.genome.CDS.1336,,MEint4252.genome.CDS.1244,,TBepi2057.genome.CDS.1056,TBepi2754.genome.CDS.1402,,TBepi3475.genome.CDS.1849,TBepi4208.genome.CDS.1302,TBhypo2152.genome.CDS.1082,TBhypo3463.genome.CDS.1359,TBhypo3838.genome.CDS.670,TBhypo680.genome.CDS.2240,,acIB-AMD-7.genome.CDS.1929,bin_7_acI-B2.genome.CDS.2425
group00220,AAA023D18.genome.CDS.1394,,,AAA027J17.genome.CDS.1419,AAA027L06.genome.CDS.2267,AAA027M14.genome.CDS.1230,AAA028A23.genome.CDS.1113,AAA028E20.genome.CDS.1356,AAA028G02.genome.CDS.1805,,AAA041L13.genome.CDS.1943,,AAA044N04.genome.CDS.2065,AAA044O16.genome.CDS.2197,,AAA278O22.genome.CDS.2229,AB141P03.genome.CDS.723,BIN_10.genome.CDS.1666,MEint1363.genome.CDS.1125;MEint1363.genome.CDS.1522,MEint2297.genome.CDS.1478,MEint283.genome.CDS.1054,MEint3864.genome.CDS.1244,MEint4252.genome.CDS.1127;MEint4252.genome.CDS.1672,MEint885.genome.CDS.1044,,TBepi2754.genome.CDS.2092,,TBepi3475.genome.CDS.1615,TBepi4208.genome.CDS.1997,,TBhypo3463.genome.CDS.1488,,TBhypo680.genome.CDS.2041,,acIB-AMD-7.genome.CDS.1380;acIB-AMD-7.genome.CDS.1846,bin_7_acI-B2.genome.CDS.2768
group00221,AAA023D18.genome.CDS.843,AAA023J06.genome.CDS.806,AAA024D14.genome.CDS.953,,AAA027L06.genome.CDS.1652,AAA027M14.genome.CDS.1618,AAA028A23.genome.CDS.1456,AAA028E20.genome.CDS.1663,AAA028G02.genome.CDS.1939,AAA028I14.genome.CDS.1019,AAA041L13.genome.CDS.2341,,AAA044N04.genome.CDS.1890,AAA044O16.genome.CDS.2494,AAA278I18.genome.CDS.1404,AAA278O22.genome.CDS.1356,AB141P03.genome.CDS.972,BIN_10.genome.CDS.1615,MEint1363.genome.CDS.1032,MEint2297.genome.CDS.2741,MEint283.genome.CDS.1080,MEint3864.genome.CDS.1428,MEint4252.genome.CDS.2259,MEint885.genome.CDS.1689,TBepi2057.genome.CDS.1939,TBepi2754.genome.CDS.1754,TBepi3207.genome.CDS.2462,,TBepi4208.genome.CDS.1593,TBhypo2152.genome.CDS.1719,TBhypo3463.genome.CDS.1644,TBhypo3838.genome.CDS.876,TBhypo680.genome.CDS.2340,,acIB-AMD-7.genome.CDS.1041,bin_7_acI-B2.genome.CDS.2685;bin_7_acI-B2.genome.CDS.3569
